"1.Predict the output:<br><code class=""prettyprint"">#include <stdio.h> <br>int main() <br>{<br>  float a = 1.1; <br> double b =1.1;<br>  if(a==b)  { <br>  printf(""Hello""); <br> }<br>  else  {  <br> printf(""Hi"");  }<br> }</code>",Hello,Hi,Compile time Error,Runtime Error,
"2.Predict the output:<br><code class=""prettyprint"">#include<stdio.h><br> int main()<br> {  int i = 10 ,j = 20;<br>  printf(""%d"",++i+++j);<br> return 0; }</code>",32,31,Compile time Error,Runtime Error,
"3.Choose the correct output for the following:<br><code class=""prettyprint"">#include<cstring><br>#include<cstdio><br>using namespace std;<br>int main()<br>{char a[] = {""ACE SASTRA PROTOCOL v 2.0!""};<br>printf(""%i-%i"",sizeof(a),strlen(a));return 0;<br>}</code>",27-26,26-26,27-27,28-26,
"4.Choose the output for the following:<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{ int a=100;<br> if(a<<=2<a)<br>  printf(""%d"",a<<2);<br> else<br>  printf(""%d"",a>>2);<br> return 0;<br>}</code>",400,800,1600,100,
"5.What is the output of the second printf statement?<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>int x=printf(""ACE presents Protocol! \n"");<br>printf(""\n%d"",x);<br>return 0;<br>}</code>",21,ACE presents Protocol!,24,Error,
6.What would be the equivalent expression for referring the array element<br> a[i][j][k][l],((((a+i)+j)+k)+l),*(*(*(*(a+i)+j)+k)+l),(((a+i)+j)+k+l),((a+i)+j+k+l),
"7.What is the output of the program?<br><code class=""prettyprint"">int main()<br>{<br>    int x = 10, y = 20, z = 5, i;<br>    i = x < y > z;<br>    printf(""%d\n"", i);<br>    return 0;<br>}</code>",0,1,Error,10,
"8.What is the output of the program?<br><code class=""prettyprint"">#include<stdio.h><br>int main(){<br>    union a    {<br>        int i;<br>        char ch[2];<br>    };<br>    union a u;<br>    u.ch[0] = 4;<br>    u.ch[1] = 2;<br>    printf(""%d\n"", u.i);<br>    return 0;<br>}</code>",4,516,512,2,
"9.What is the output?<br><code class=""prettyprint"">#include<stdio.h><br>int main()<br>{<br>    int X=40;<br>    {<br>        int X=20;<br>        printf(""%d "", ++X);<br>    }<br>    printf(""%d\n"", X);<br>    return 0;<br>}</code>",21 40,20 41,20 21,Error,
"10.The output of the program is<br><code class=""prettyprint"">#include<stdio.h><br>void fun(int);<br>int main(int argc)<br>{<br>    printf(""%d "", argc);<br>    fun(argc);<br>    return 0;<br>}<br>void fun(int i)<br>{<br>    if(i!=5)<br>        main(++i);<br>}</code>",1 2 3,1 2 3 4 5,2 3 4 5 6,1,
